2018-1-20 17:0:8:927			
2018-1-20 17:0:8:927			开始运行
2018-1-20 17:0:8:951			成功建立数据库连接
2018-1-20 17:0:8:951			开始加载数据库blockdetail信息
2018-1-20 17:0:10:45			完成加载数据库blockdetail信息
2018-1-20 17:0:10:45			开始根据featureid加载对象并提取对象状态
2018-1-20 17:0:14:801			本次需从LayerId: 1 中加载, 746 条要素
2018-1-20 17:0:14:801			本次共从LayerId: 1 中加载, 521 条存在要素
2018-1-20 17:0:14:801			本次共从LayerId: 1 中加载, 0 条删除要素
2018-1-20 17:0:15:749			本次需从LayerId: 24 中加载, 1170 条要素
2018-1-20 17:0:15:749			本次共从LayerId: 24 中加载, 907 条存在要素
2018-1-20 17:0:15:749			本次共从LayerId: 24 中加载, 0 条删除要素
2018-1-20 17:0:15:749			本次共计加载了 1916 个要素
2018-1-20 17:0:15:749			完成根据featureid加载对象并提取对象状态
2018-1-20 17:0:15:749			开始获取block的最新状态
2018-1-20 17:0:15:749			blockid: 1669 开始运行
2018-1-20 17:0:15:749			blockid: 1669 存在逻辑错误1,491301
2018-1-20 17:0:15:749			blockid: 1669 存在逻辑错误1,20000015458114
2018-1-20 17:0:15:749			blockid: 1670 开始运行
2018-1-20 17:0:15:749			blockid: 1671 开始运行
2018-1-20 17:0:15:749			blockid: 1672 开始运行
2018-1-20 17:0:15:749			blockid: 1673 开始运行
2018-1-20 17:0:15:749			blockid: 1673 存在逻辑错误1,20000015458692
2018-1-20 17:0:15:749			blockid: 1674 开始运行
2018-1-20 17:0:15:749			blockid: 1675 开始运行
2018-1-20 17:0:15:749			blockid: 1676 开始运行
2018-1-20 17:0:15:749			blockid: 1677 开始运行
2018-1-20 17:0:15:749			blockid: 1677 存在逻辑错误1,200000000022419
2018-1-20 17:0:15:749			blockid: 1678 开始运行
2018-1-20 17:0:15:749			blockid: 1678 存在逻辑错误1,200000000022731
2018-1-20 17:0:15:749			blockid: 1679 开始运行
2018-1-20 17:0:15:749			blockid: 1679 存在逻辑错误1,200000000025183
2018-1-20 17:0:15:749			blockid: 1680 开始运行
2018-1-20 17:0:15:750			blockid: 1680 存在逻辑错误1,200000000025277
2018-1-20 17:0:15:750			blockid: 1681 开始运行
2018-1-20 17:0:15:750			blockid: 1681 存在逻辑错误1,200000000025278
2018-1-20 17:0:15:750			blockid: 1682 开始运行
2018-1-20 17:0:15:750			blockid: 1682 存在逻辑错误1,200000000025289
2018-1-20 17:0:15:750			blockid: 1683 开始运行
2018-1-20 17:0:15:750			blockid: 1683 存在逻辑错误1,200000000025295
2018-1-20 17:0:15:750			blockid: 1684 开始运行
2018-1-20 17:0:15:750			blockid: 1684 存在逻辑错误1,200000000026052
2018-1-20 17:0:15:750			blockid: 1685 开始运行
