2018-1-20 15:48:58:594			
2018-1-20 15:48:58:594			开始运行
2018-1-20 15:49:0:707			成功建立数据库连接
2018-1-20 15:49:0:707			开始加载数据库blockdetail信息
2018-1-20 15:49:1:899			完成加载数据库blockdetail信息
2018-1-20 15:49:1:899			开始根据featureid加载对象并提取对象状态
2018-1-20 15:49:6:915			本次需从LayerId: 1 中加载, 542 条要素
2018-1-20 15:49:6:915			本次共从LayerId: 1 中加载, 520 条存在要素
2018-1-20 15:49:6:915			本次共从LayerId: 1 中加载, 0 条删除要素
2018-1-20 15:49:7:829			本次需从LayerId: 24 中加载, 932 条要素
2018-1-20 15:49:7:829			本次共从LayerId: 24 中加载, 906 条存在要素
2018-1-20 15:49:7:830			本次共从LayerId: 24 中加载, 0 条删除要素
2018-1-20 15:49:7:831			blockid: 1710 开始运行
2018-1-20 15:49:7:831			blockid: 1710 存在逻辑错误1,200000000026411
2018-1-20 15:49:7:831			blockid: 1711 开始运行
2018-1-20 15:49:7:831			blockid: 1711 存在逻辑错误1,200000000026814
2018-1-20 15:49:7:831			blockid: 1712 开始运行
2018-1-20 15:49:7:831			blockid: 1712 存在逻辑错误1,200000000026815
2018-1-20 15:49:7:831			blockid: 1713 开始运行
2018-1-20 15:49:7:831			blockid: 1713 存在逻辑错误1,200000000026816
2018-1-20 15:49:7:831			blockid: 1714 开始运行
2018-1-20 15:49:7:831			blockid: 1714 存在逻辑错误1,200000000026817
2018-1-20 15:49:7:831			blockid: 1715 开始运行
2018-1-20 15:49:7:831			blockid: 1715 存在逻辑错误1,200000000026860
2018-1-20 15:49:7:831			blockid: 1716 开始运行
2018-1-20 15:49:7:831			blockid: 1716 存在逻辑错误1,200000000026864
2018-1-20 15:49:7:831			blockid: 1717 开始运行
2018-1-20 15:49:7:831			blockid: 1717 存在逻辑错误1,200000000026868
2018-1-20 15:49:7:831			blockid: 1718 开始运行
2018-1-20 15:49:7:831			blockid: 1718 存在逻辑错误1,200000000026874
2018-1-20 15:49:7:831			blockid: 1719 开始运行
2018-1-20 15:49:7:831			blockid: 1719 存在逻辑错误1,200000000026878
